order_id,customer_id,order_value,order_date
1,1215,178.14,2024-10-29
2,964,467.53,2024-09-25
3,429,479.84,2024-04-08
4,2065,225.84,2024-10-28
5,443,307.47,2024-10-18
6,1017,404.58,2024-01-10
7,2015,354.23,2024-01-23
8,1616,436.14,2024-10-05
9,2018,308.23,2024-03-08
10,1595,295.42,2024-05-12
11,2426,194.13,2024-01-04
12,392,45.91,2024-04-14
13,30,37.22,2024-08-12
14,131,84.36,2024-08-27
15,401,38.31,2024-08-19
16,123,272.22,2024-04-27
17,2099,207.75,2024-01-18
18,920,22.87,2024-11-09
19,1616,20.73,2024-05-05
20,74,266.28,2024-11-13
21,1527,279.07,2024-07-17
22,111,28.27,2024-04-13
23,2225,338.29,2024-04-21
24,2253,71.68,2024-01-14
25,2589,252.31,2024-09-22
26,1991,87.82,2024-04-14
27,1057,29.14,2024-10-21
28,2200,114.06,2024-08-16
29,2128,237.43,2024-06-22
30,1568,374.52,2024-04-16
31,2894,140.12,2024-10-19
32,2174,345.68,2024-08-26
33,508,432.72,2024-01-03
34,2423,142.19,2024-09-04
35,534,265.89,2024-05-14
36,151,210.62,2024-11-22
37,218,23.46,2024-09-01
38,282,202.02,2024-02-21
39,305,194.83,2024-02-07
40,1775,314.73,2024-03-03
41,662,434.55,2024-11-15
42,1219,339.22,2024-01-06
43,1450,184.14,2024-07-20
44,1588,229.95,2024-05-07
45,654,444.71,2024-11-03
46,2221,323.11,2024-05-01
47,2752,201.02,2024-05-01
48,397,304.08,2024-06-20
49,744,325.72,2024-11-15
50,1184,246.31,2024-09-03
51,1454,434.04,2024-10-09
52,2018,408.23,2024-04-18
53,51,266.96,2024-07-11
54,1826,479.59,2024-12-06
55,2668,477.08,2024-06-13
56,884,483.37,2024-09-07
57,1740,118.05,2024-12-13
58,1751,60.65,2024-02-18
59,2323,313.36,2024-11-06
60,688,366.51,2024-02-08
61,2914,160.43,2024-06-12
62,2632,273.46,2024-07-12
63,1954,327.45,2024-03-08
64,362,237.05,2024-09-14
65,400,275.26,2024-11-16
66,795,46.85,2024-04-13
67,563,497.11,2024-09-30
68,2275,195.55,2024-06-17
69,2065,110.56,2024-12-19
70,220,245.21,2024-08-06
71,2632,165.56,2024-05-02
72,2500,201.85,2024-08-15
73,2017,285.81,2024-06-15
74,626,146.43,2024-06-02
75,2518,336.58,2024-04-13
76,2399,221.55,2024-01-03
77,1665,51.23,2024-06-25
78,903,444.59,2024-01-28
79,64,243.92,2024-05-23
80,1992,462.24,2024-05-02
81,1928,196.51,2024-04-25
82,950,275.9,2024-01-22
83,439,438.05,2024-12-01
84,897,236.49,2024-04-06
85,1763,320.23,2024-11-28
86,581,131.06,2024-02-18
87,2080,126.68,2024-10-10
88,1,275.9,2024-08-23
89,706,310.46,2024-03-04
90,1929,331.33,2024-07-06
91,2764,386.63,2024-07-12
92,2634,462.06,2024-01-26
93,152,127.67,2024-06-18
94,2418,313.54,2024-04-17
95,1683,227.13,2024-10-03
96,563,53.72,2024-10-14
97,2897,232.24,2024-07-16
98,258,397.44,2024-07-15
99,2570,48.77,2024-01-24
100,965,307.05,2024-09-11
101,646,210.93,2024-03-05
102,190,330.49,2024-10-05
103,578,412.47,2024-03-20
104,1288,275.41,2024-01-08
105,836,158.94,2024-02-14
106,1842,54.17,2024-12-31
107,2911,151.46,2024-05-18
108,2696,188.68,2024-02-26
109,2655,324.22,2024-01-12
110,505,200.29,2024-03-12
111,2030,207.32,2024-03-03
112,1870,152.34,2024-06-11
113,1928,187.81,2024-02-07
114,378,140.35,2024-10-03
115,2393,369.72,2024-02-20
116,1230,491.65,2024-06-02
117,2859,369.98,2024-01-20
118,2111,46.08,2024-10-07
119,849,320.03,2024-07-28
120,1393,354.42,2024-09-01
121,780,391.34,2024-09-04
122,866,383.72,2024-09-30
123,2996,259.11,2024-02-17
124,1931,138.59,2024-01-14
125,539,69.09,2024-09-08
126,2953,14.1,2024-06-14
127,1106,10.74,2024-04-22
128,1766,468.74,2024-03-04
129,2596,307.9,2024-10-11
130,1966,291.36,2024-03-27
131,1756,194.56,2024-08-21
132,2516,401.28,2024-09-05
133,234,117.89,2024-04-22
134,1181,371.66,2024-08-13
135,1988,187.77,2024-07-01
136,2127,356.8,2024-03-21
137,1321,356.13,2024-10-01
138,790,164.5,2024-04-02
139,529,467.79,2024-07-12
140,897,258.75,2024-04-15
141,2393,136.29,2024-04-09
142,276,340.16,2024-02-05
143,403,377.92,2024-07-02
144,2302,475.84,2024-05-28
145,1039,45.9,2024-08-12
146,2585,274.57,2024-03-03
147,163,250.28,2024-07-20
148,1132,162.02,2024-05-22
149,2111,386.23,2024-09-24
150,243,105.19,2024-09-15
151,2351,170.6,2024-09-10
152,963,385.41,2024-09-21
153,1140,243.86,2024-02-11
154,2002,76.69,2024-07-20
155,2368,448.19,2024-01-31
156,1046,368.1,2024-06-13
157,1488,285.74,2024-09-23
158,1487,308.57,2024-07-07
159,965,316.73,2024-10-09
160,2538,254.65,2024-03-10
161,2666,374.92,2024-08-22
162,2034,360.51,2024-04-03
163,2012,11.37,2024-10-25
164,842,64.17,2024-10-27
165,2431,22.4,2024-11-01
166,1150,92.76,2024-09-18
167,370,45.42,2024-05-20
168,2788,104.96,2024-08-17
169,1395,273.87,2024-09-24
170,2457,338.15,2024-09-19
171,829,460.11,2024-05-21
172,2309,372.25,2024-07-19
173,2076,25.43,2024-04-08
174,2897,239.67,2024-10-29
175,450,341.06,2024-09-19
176,527,164.41,2024-02-08
177,183,190.76,2024-07-02
178,376,403.37,2024-07-31
179,1830,33.05,2024-05-02
180,2013,274.44,2024-10-09
181,210,404.2,2024-03-01
182,2574,400.73,2024-03-06
183,32,69.08,2024-11-03
184,2092,423.98,2024-12-22
185,1372,47.87,2024-10-15
186,886,462.79,2024-04-17
187,2164,115.99,2024-05-19
188,372,66.47,2024-08-30
189,995,46.24,2024-12-06
190,2490,178.27,2024-04-03
191,2662,180.8,2024-12-07
192,1395,267.81,2024-11-17
193,1726,369.14,2024-05-31
194,1739,259.78,2024-08-11
195,238,489.68,2024-06-21
196,2107,113.06,2024-07-22
197,1355,113.17,2024-09-03
198,2973,355.42,2024-07-01
199,915,163.95,2024-02-22
200,1540,94.09,2024-12-25
201,1964,398.3,2024-10-01
202,2820,120.85,2024-06-27
203,1420,376.97,2024-12-03
204,303,111.28,2024-04-07
205,1927,470.31,2024-05-05
206,981,154.6,2024-07-12
207,2529,377.36,2024-02-14
208,229,422.31,2024-12-23
209,54,70.09,2024-07-29
210,2490,43.34,2024-06-17
211,2623,303.19,2024-05-24
212,1957,313.85,2024-02-09
213,1592,315.15,2024-11-24
214,2633,233.52,2024-12-23
215,1121,468.01,2024-03-25
216,2640,349.13,2024-07-04
217,1295,46.37,2024-02-08
218,130,394.65,2024-08-09
219,1549,144.99,2024-07-09
220,1784,364.29,2024-01-28
221,517,39.01,2024-12-05
222,944,385.68,2024-06-23
223,2229,275.96,2024-08-24
224,2666,363.17,2024-02-16
225,2285,252.18,2024-04-19
226,512,402.55,2024-07-07
227,2581,474.04,2024-09-30
228,1981,373.82,2024-06-26
229,1462,374.64,2024-04-02
230,225,116.18,2024-03-31
231,2251,183.69,2024-09-01
232,2903,71.27,2024-01-01
233,2982,270.89,2024-02-04
234,136,228.81,2024-09-17
235,1508,154.4,2024-04-25
236,1057,43.9,2024-09-18
237,1053,466.38,2024-02-29
238,1375,306.65,2024-04-09
239,1352,169.25,2024-05-12
240,2493,180.38,2024-08-23
241,1495,203.75,2024-06-08
242,1394,407.7,2024-09-11
243,371,113.11,2024-08-24
244,2987,429.67,2024-04-04
245,638,162.58,2024-02-09
246,1660,436.82,2024-08-24
247,922,448.98,2024-08-23
248,1277,351.37,2024-10-24
249,2534,448.42,2024-03-14
250,2306,376.08,2024-08-10
251,2487,80.82,2024-12-12
252,602,478.52,2024-01-29
253,2066,103.15,2024-11-29
254,219,252.37,2024-01-23
255,512,197.9,2024-01-04
256,1202,180.59,2024-08-31
257,209,393.97,2024-02-03
258,1837,152.57,2024-04-14
259,2575,273.46,2024-06-14
260,2283,174.94,2024-11-12
261,1233,447.8,2024-01-27
262,211,86.01,2024-03-23
263,273,95.99,2024-06-07
264,2192,64.5,2024-11-28
265,1727,381.32,2024-06-03
266,2782,89.13,2024-06-19
267,502,271.22,2024-04-05
268,2492,385.72,2024-10-28
269,1874,66.61,2024-08-28
270,1110,465.93,2024-10-19
271,2228,149.18,2024-04-30
272,1841,398.23,2024-07-13
273,1585,398.84,2024-08-18
274,1178,180.69,2024-05-13
275,2227,279.78,2024-02-28
276,2347,319.11,2024-05-10
277,1350,213.62,2024-01-27
278,755,185.36,2024-09-01
279,9,427.54,2024-05-09
280,192,108.95,2024-11-15
281,1114,399.52,2024-08-19
282,1027,109.83,2024-06-20
283,2998,353.06,2024-03-16
284,492,150.94,2024-02-24
285,1289,464.42,2024-08-26
286,2828,306.64,2024-04-30
287,677,271.42,2024-11-27
288,2773,154.65,2024-07-10
289,1957,259.25,2024-01-10
290,1384,42.27,2024-10-17
291,2243,80.24,2024-05-13
292,499,154.57,2024-03-29
293,2616,475.14,2024-09-11
294,1641,239.26,2024-06-30
295,1855,206.21,2024-08-09
296,154,388.55,2024-07-25
297,1070,349.91,2024-11-18
298,181,335.34,2024-03-22
299,1596,306.79,2024-04-29
300,226,73.68,2024-11-07
301,347,201.38,2024-12-02
302,2494,451.58,2024-02-29
303,2223,480.24,2024-09-26
304,829,222.01,2024-06-22
305,1630,10.52,2024-09-28
306,1924,254.67,2024-10-09
307,1687,121.32,2024-08-22
308,1847,102.15,2024-03-01
309,252,149.06,2024-10-07
310,1476,70.09,2024-06-26
311,1445,32.47,2024-02-27
312,2699,227.9,2024-03-18
313,1956,138.65,2024-05-12
314,2532,135.54,2024-11-05
315,1807,118.56,2024-10-19
316,624,253.35,2024-11-25
317,158,369.28,2024-01-10
318,569,331.88,2024-09-21
319,1726,488.21,2024-11-29
320,1667,457.86,2024-10-15
321,9,214.5,2024-03-10
322,509,408.36,2024-02-26
323,544,100.39,2024-01-26
324,2637,114.03,2024-06-15
325,2040,353.45,2024-06-20
326,2861,116.19,2024-11-15
327,95,231.08,2024-07-13
328,2745,167.8,2024-02-17
329,1301,123.99,2024-02-09
330,1559,85.68,2024-06-22
331,973,309.81,2024-12-17
332,2970,37.53,2024-09-15
333,117,354.25,2024-09-09
334,1480,448.42,2024-07-29
335,360,178.3,2024-09-16
336,1054,212.48,2024-09-11
337,2373,299.39,2024-05-19
338,1944,336.46,2024-09-07
339,74,276.96,2024-08-27
340,979,348.27,2024-05-10
341,1443,406.19,2024-01-03
342,807,495.12,2024-05-04
343,1287,202.44,2024-08-18
344,551,296.49,2024-10-24
345,2452,194.33,2024-09-05
346,2152,126.59,2024-05-26
347,1888,498.81,2024-06-04
348,2754,16.8,2024-10-20
349,2191,41.7,2024-04-26
350,2762,295.69,2024-05-16
351,917,357.82,2024-07-02
352,207,367.13,2024-04-19
353,2594,354.62,2024-05-14
354,1907,396.41,2024-04-10
355,1285,374.88,2024-04-25
356,824,277.53,2024-04-28
357,1107,240.36,2024-07-22
358,2311,362.93,2024-02-23
359,2220,368.84,2024-01-28
360,362,172.95,2024-08-27
361,42,11.45,2024-09-12
362,1764,164.01,2024-06-04
363,2322,272.02,2024-01-25
364,1798,267.79,2024-09-10
365,500,196.13,2024-12-12
366,132,466.84,2024-04-08
367,2958,243.41,2024-07-25
368,2473,78.13,2024-06-25
369,2991,104.84,2024-08-14
370,2657,56.35,2024-03-02
371,1077,141.46,2024-06-18
372,2837,159.32,2024-03-27
373,1421,173.74,2024-01-27
374,2242,419.73,2024-08-17
375,1007,385.08,2024-01-08
376,464,253.09,2024-07-08
377,1379,227.73,2024-01-04
378,1197,195.27,2024-02-23
379,2241,16.65,2024-06-24
380,1454,460.67,2024-11-12
381,2435,152.83,2024-05-25
382,657,422.53,2024-09-05
383,1001,373.01,2024-04-18
384,1812,66.06,2024-09-30
385,1796,163.48,2024-01-29
386,1355,247.48,2024-05-28
387,795,138.46,2024-11-05
388,1300,207.03,2024-03-31
389,108,148.39,2024-02-16
390,256,321.5,2024-07-12
391,1103,186.72,2024-11-19
392,2438,179.69,2024-07-22
393,725,143.07,2024-03-20
394,1944,402.75,2024-03-29
395,1233,326.51,2024-05-30
396,1591,363.27,2024-09-29
397,540,202.99,2024-11-12
398,2904,421.34,2024-06-28
399,109,214.02,2024-02-11
400,2072,96.48,2024-02-20
401,1697,260.22,2024-08-25
402,499,228.01,2024-07-03
403,2420,54.95,2024-10-18
404,1189,334.71,2024-09-14
405,2445,407.88,2024-10-05
406,2320,184.52,2024-07-06
407,50,382.01,2024-07-05
408,71,297.07,2024-07-12
409,1955,143.77,2024-02-12
410,492,178.55,2024-07-20
411,474,473.6,2024-04-16
412,1225,115.74,2024-03-13
413,24,84.44,2024-08-08
414,469,47.08,2024-03-30
415,1461,439.04,2024-04-29
416,214,339.34,2024-06-12
417,1319,67.17,2024-11-11
418,147,385.17,2024-08-08
419,2988,318.41,2024-01-21
420,2430,493.25,2024-04-06
421,1710,260.59,2024-12-21
422,1440,263.05,2024-12-18
423,1029,132.14,2024-01-04
424,844,103.55,2024-06-09
425,872,369.43,2024-05-21
426,2438,192.6,2024-03-28
427,2898,364.94,2024-11-15
428,1031,389.48,2024-07-08
429,723,452.61,2024-03-29
430,2831,219.44,2024-05-14
431,1300,56.96,2024-09-17
432,2875,20.64,2024-12-31
433,2004,153.02,2024-01-13
434,2052,466.91,2024-09-03
435,1738,376.42,2024-09-06
436,2154,283.98,2024-03-24
437,40,127.41,2024-04-26
438,2625,359.29,2024-03-31
439,2595,373.02,2024-09-19
440,2604,122.92,2024-06-10
441,1287,356.98,2024-05-28
442,2710,68.91,2024-07-06
443,577,59.82,2024-12-03
444,2392,37.06,2024-07-04
445,788,407.0,2024-02-25
446,1568,142.6,2024-07-31
447,1889,306.05,2024-05-27
448,164,80.8,2024-11-01
449,402,226.79,2024-11-05
450,2533,23.57,2024-02-09
451,353,431.38,2024-05-31
452,673,274.48,2024-03-25
453,2885,446.35,2024-04-17
454,265,239.21,2024-11-09
455,1066,165.0,2024-10-13
456,1223,206.39,2024-04-27
457,207,129.49,2024-06-26
458,110,443.93,2024-05-17
459,1668,154.85,2024-03-24
460,1767,153.18,2024-09-26
461,2120,319.49,2024-01-19
462,408,70.14,2024-01-30
463,840,117.4,2024-11-08
464,1660,220.65,2024-09-28
465,2757,99.48,2024-01-22
466,279,136.09,2024-11-05
467,1890,352.96,2024-03-24
468,51,147.12,2024-11-21
469,1147,322.23,2024-04-18
470,431,252.26,2024-08-12
471,1875,386.14,2024-01-05
472,2599,377.85,2024-03-11
473,324,106.8,2024-10-02
474,1864,472.19,2024-02-07
475,2423,403.08,2024-05-08
476,874,270.98,2024-04-27
477,1805,284.28,2024-01-05
478,548,416.13,2024-03-25
479,1445,247.23,2024-11-12
480,2986,244.46,2024-03-18
481,376,318.79,2024-05-04
482,2157,53.27,2024-03-16
483,1779,295.25,2024-10-09
484,2539,119.71,2024-12-24
485,1043,67.19,2024-10-07
486,2597,409.55,2024-12-12
487,1241,197.09,2024-05-09
488,1729,256.38,2024-05-29
489,2281,153.79,2024-12-17
490,1575,25.14,2024-11-05
491,2025,226.77,2024-05-24
492,1434,377.63,2024-07-07
493,2602,381.58,2024-03-06
494,1536,461.8,2024-09-01
495,1845,421.8,2024-08-31
496,963,491.34,2024-04-28
497,1330,290.1,2024-06-02
498,2921,34.96,2024-06-09
499,107,433.06,2024-01-01
500,1693,476.5,2024-02-09
501,1249,237.44,2024-06-19
502,1410,65.83,2024-10-26
503,1554,22.07,2024-07-08
504,60,310.62,2024-10-18
505,2420,337.14,2024-10-21
506,118,17.95,2024-05-05
507,2728,475.14,2024-09-24
508,286,275.7,2024-01-21
509,1565,310.01,2024-03-27
510,1693,286.43,2024-09-25
511,19,165.3,2024-10-01
512,1006,451.29,2024-02-15
513,2650,11.87,2024-04-21
514,1594,376.12,2024-07-03
515,1014,186.81,2024-07-08
516,116,103.21,2024-02-25
517,121,223.69,2024-05-08
518,2670,107.04,2024-04-19
519,2412,435.73,2024-12-07
520,2253,399.85,2024-06-04
521,2534,429.93,2024-05-11
522,671,419.58,2024-07-17
523,2894,414.16,2024-03-15
524,95,294.9,2024-07-22
525,2594,451.96,2024-02-22
526,2802,38.98,2024-02-08
527,1854,150.08,2024-10-17
528,2378,114.16,2024-12-03
529,825,69.33,2024-02-20
530,2709,13.11,2024-07-10
531,615,207.3,2024-07-25
532,310,364.76,2024-11-10
533,1241,325.99,2024-10-08
534,677,329.01,2024-04-22
535,168,445.18,2024-04-24
536,2580,479.1,2024-09-15
537,1133,343.49,2024-11-28
538,199,51.61,2024-12-19
539,402,341.58,2024-08-26
540,2793,281.84,2024-01-17
541,2220,41.56,2024-11-16
542,184,135.99,2024-07-24
543,17,126.47,2024-09-13
544,554,388.67,2024-03-28
545,2204,179.15,2024-11-08
546,1045,255.33,2024-01-11
547,1445,395.01,2024-03-07
548,1175,468.89,2024-07-23
549,1135,273.72,2024-11-06
550,1840,282.1,2024-03-26
551,1339,56.97,2024-02-10
552,640,252.22,2024-04-14
553,458,346.37,2024-01-30
554,1006,102.64,2024-10-07
555,1076,64.52,2024-09-12
556,806,433.03,2024-11-15
557,385,66.29,2024-08-04
558,587,457.41,2024-04-12
559,2977,144.09,2024-06-10
560,863,171.68,2024-07-04
561,1455,267.53,2024-09-12
562,2629,102.17,2024-03-26
563,1194,347.39,2024-06-30
564,666,266.71,2024-04-26
565,2865,473.6,2024-09-03
566,2154,456.5,2024-05-25
567,327,387.16,2024-09-28
568,2834,100.56,2024-07-02
569,1894,114.76,2024-07-20
570,1631,141.55,2024-06-07
571,265,418.73,2024-02-17
572,322,327.49,2024-05-03
573,2364,96.03,2024-11-28
574,108,234.55,2024-06-10
575,1829,487.7,2024-06-10
576,1967,368.8,2024-08-21
577,1773,467.8,2024-02-29
578,2589,406.33,2024-03-16
579,2623,365.28,2024-02-09
580,1551,416.66,2024-05-24
581,238,349.36,2024-06-17
582,1033,288.01,2024-11-07
583,2384,370.58,2024-06-22
584,2049,122.44,2024-03-12
585,121,250.27,2024-05-18
586,313,476.18,2024-02-09
587,184,406.22,2024-06-22
588,1262,463.89,2024-03-05
589,889,484.05,2024-02-01
590,1794,297.71,2024-04-17
591,769,106.13,2024-06-28
592,330,373.11,2024-09-22
593,2519,13.59,2024-12-29
594,822,53.68,2024-04-24
595,1043,150.2,2024-05-10
596,1042,17.44,2024-09-06
597,1304,344.84,2024-05-16
598,127,410.13,2024-05-15
599,1021,379.35,2024-03-14
600,1353,80.8,2024-01-08
601,1743,403.91,2024-09-28
602,2748,415.96,2024-09-23
603,16,57.3,2024-10-05
604,2701,251.27,2024-11-07
605,2485,347.18,2024-05-29
606,6,209.28,2024-12-25
607,2329,445.74,2024-10-21
608,2063,269.28,2024-05-15
609,2514,69.84,2024-05-12
610,1451,269.91,2024-12-12
611,1664,292.95,2024-09-17
612,1785,477.28,2024-01-19
613,1570,216.77,2024-03-01
614,386,447.59,2024-10-28
615,1556,166.79,2024-05-25
616,762,231.63,2024-07-06
617,2922,340.88,2024-06-26
618,2286,443.9,2024-11-22
619,2974,389.32,2024-06-25
620,2519,86.18,2024-04-23
621,1267,104.91,2024-07-26
622,215,43.43,2024-01-18
623,2947,314.52,2024-12-29
624,2125,225.76,2024-03-30
625,2432,439.16,2024-08-08
626,2995,494.81,2024-05-23
627,2169,440.49,2024-02-15
628,1838,32.85,2024-04-12
629,1565,472.74,2024-04-03
630,1943,60.46,2024-03-04
631,2792,229.13,2024-05-21
632,145,155.69,2024-10-04
633,2005,86.66,2024-03-18
634,1117,93.91,2024-03-31
635,2533,179.46,2024-02-04
636,837,22.44,2024-04-13
637,505,41.68,2024-03-16
638,1346,360.0,2024-11-26
639,1782,316.85,2024-05-10
640,1099,58.69,2024-04-16
641,463,221.85,2024-10-01
642,2199,307.78,2024-10-05
643,2987,57.85,2024-07-26
644,1214,486.28,2024-09-16
645,369,425.77,2024-04-05
